[2020-03-07 00:50:17] Lat:51.xxx348;Lon:5.xxx445;Alt:22.20;Speed:0.72;Sat:10Prec:88 
[2020-03-07 00:50:18] Lat:51.xxx348;Lon:5.xxx452;Alt:21.90;Speed:0.46;Sat:10Prec:88 
[2020-03-07 00:50:19] Lat:51.xxx352;Lon:5.xxx460;Alt:21.00;Speed:0.43;Sat:10Prec:88 
[2020-03-07 00:50:20] Lat:51.xxx352;Lon:5.xxx463;Alt:20.40;Speed:0.13;Sat:10Prec:88 
[2020-03-07 00:50:21] Lat:51.xxx352;Lon:5.xxx474;Alt:19.40;Speed:0.24;Sat:10Prec:167 
[2020-03-07 00:50:22] Lat:51.xxx356;Lon:5.xxx486;Alt:18.00;Speed:0.13;Sat:10Prec:167 
[2020-03-07 00:50:23] Lat:51.xxx360;Lon:5.xxx496;Alt:16.90;Speed:0.11;Sat:10Prec:167 
[2020-03-07 00:50:24] Lat:51.xxx364;Lon:5.xxx505;Alt:15.90;Speed:0.07;Sat:10Prec:167 
[2020-03-07 00:50:26] Lat:51.xxx367;Lon:5.xxx525;Alt:14.80;Speed:0.39;Sat:10Prec:167 
[2020-03-07 00:50:27] Lat:51.xxx371;Lon:5.xxx535;Alt:13.80;Speed:0.15;Sat:10Prec:167 
[2020-03-07 00:50:28] Lat:51.xxx371;Lon:5.xxx542;Alt:12.00;Speed:0.30;Sat:10Prec:167 
[2020-03-07 00:50:29] Lat:51.xxx375;Lon:5.xxx549;Alt:11.30;Speed:0.33;Sat:10Prec:167 
[2020-03-07 00:50:30] Lat:51.xxx375;Lon:5.xxx555;Alt:10.70;Speed:0.15;Sat:10Prec:167 
[2020-03-07 00:50:31] Lat:51.xxx379;Lon:5.xxx557;Alt:10.40;Speed:0.11;Sat:10Prec:167 
[2020-03-07 00:50:32] Lat:51.xxx379;Lon:5.xxx559;Alt:10.10;Speed:0.37;Sat:10Prec:167 
[2020-03-07 00:50:33] Lat:51.xxx383;Lon:5.xxx560;Alt:10.00;Speed:0.24;Sat:10Prec:167 
[2020-03-07 00:50:34] Lat:51.xxx383;Lon:5.xxx562;Alt:9.90;Speed:0.02;Sat:10Prec:167 
[2020-03-07 00:50:35] Lat:51.xxx383;Lon:5.xxx565;Alt:9.80;Speed:0.30;Sat:10Prec:167 
[2020-03-07 00:50:36] Lat:51.xxx383;Lon:5.xxx566;Alt:9.60;Speed:0.28;Sat:10Prec:167 
[2020-03-07 00:50:37] Lat:51.xxx383;Lon:5.xxx567;Alt:9.50;Speed:0.50;Sat:10Prec:167 
[2020-03-07 00:50:38] Lat:51.xxx386;Lon:5.xxx567;Alt:9.40;Speed:0.39;Sat:10Prec:167 
[2020-03-07 00:50:39] Lat:51.xxx386;Lon:5.xxx568;Alt:9.10;Speed:0.17;Sat:10Prec:167 
